;id;year;keyword;context;speech_sentiment;n_of_lexicon_words;n_of_countable_words
35;Protocol_1905_03_31_01;1905;sexu;geistlichen szene gesetzt ergebnis enquete heterosexuell normal sexuell empfindenden charlottenburger studentenenquete;0;0;0
36;Protocol_1905_03_31_01;1905;sexu;prozent dementsprechend ergebnis uebereinstimmend hinsichtlich sexuell normalen abweichenden betraegt charlottenburger studentenenquete;0;0;0
37;Protocol_1905_03_31_01;1905;sexu;prozent metallarbeiterenquete 43 prozent abweichenden homosexuellen charlottenburger enquete 15 prozent amsterdamer;0;0;0
38;Protocol_1905_03_31_01;1905;sexu;prozentsaetzen zutage schaetzungen ziffern die homosexuellen umfang zweigeschlechtlichen naturanlage behaupten rein;0.004;0;1
39;Protocol_1905_03_31_01;1905;sexu;zutage getreten 1 prozent maenner homosexuell erwiesen ziffern feststehend ergebnissen geradezu;0;0;0
40;Protocol_1905_03_31_01;1905;sexu;ehrenrechte moeglich macht ueberhaupt bezweifeln homosexualitaet ziemlichem umfang bestehe macht kommissionsbericht;0.016;0;4
41;Protocol_1905_03_31_01;1905;sexu;irrenanstalt vieljaehrigem wirken lr) einzigen homosexualitaet kennen gelernt meinung enqueten charlottenburg;0.2492;0;1
42;Protocol_1905_03_31_01;1905;sexu;amsterdam metallarbeitern zweifel dargetan homosexualitaet verbreiteter anzunehmen geneigt enquete festgestellten;-0.0048;0;1
43;Protocol_1905_03_31_01;1905;sexu;legt zahlen die enqueten menge homosexuell empfindenden ergeben berechnungen zu ergebnissen;0;0;0
44;Protocol_1905_03_31_01;1905;sexu;millionen einwohnern deutschland 560 000 homosexuellen deutschland 560 000 wahrscheinlich gering;-0.6621;0;1
45;Protocol_1905_03_31_01;1905;sexu;hoch angegeben weiblichen homosexuell empfindenden gerechnet frauen – anlass grunde;0.004;0;1
46;Protocol_1905_03_31_01;1905;sexu;ueberhaupt bestrafung gelangt einwand trifft homosexuellen handlungen vollsten umfange buche mitgliedern;-0.0048;0;1
47;Protocol_1905_03_31_01;1905;sexu;das ergebnis statistischen untersuchung prozentsatz homosexuellen – mitgeteilt paragraf 175 reichsstrafgesetzbuchs widernatuerlicher;-0.3064;0;1
48;Protocol_1905_03_31_01;1905;sexu;faelle 175 diejenigen persoenliches verschulden homosexuellen handlungen erblicken stutzig rein persoenliches;0.004;0;1
49;Protocol_1905_03_31_01;1905;sexu;sechsmal oefter vergehens strafrichter standen homosexualitaet berufe umfasst beweist personenstandsregister 535;0;0;0
50;Protocol_1905_03_31_01;1905;sexu;freien berufsarten 12 beruf 8 homosexualitaet geschlecht beschraenkt religion beschraenkt bestraften;-0.4867;0;4
51;Protocol_1905_03_31_01;1905;sexu;deutschland macht alter unterschied vorkommen homosexuellen handlungen statistik 15 jahren 13;-0.0008;0;2
52;Protocol_1905_03_31_01;1905;sexu;personen wenn wiederholt durchblicken laesst homosexuellen handlungen uebersaettigung lasterhaften ausschreitens zeigt;0;0;0
53;Protocol_1905_03_31_01;1905;sexu;weiss jahren – jahre 1902 statistik – homosexuellen vergehen bestraften personen gestiegen rahmens;-0.4771;0;2
54;Protocol_1905_03_31_01;1905;sexu;ungefaehren frueheren prozentsatzes wie homosexuelle handlungen begehen bestraft verschwindend geringer;-1.1432;0;2
55;Protocol_1905_03_31_01;1905;sexu;gebaut – deutschland 1 260 000 homosexuell veranlagte personen haelfte frauen 600;0;0;0
56;Protocol_1905_03_31_01;1905;sexu;000 homosexuell empfindende maennliche personen 600000 fuenftel;0;0;0
57;Protocol_1905_03_31_01;1905;sexu;strafmuendige alter 248 000 viertel homosexuelle erwachsene straf muendige maennliche personen;-0.0048;0;1
58;Protocol_1905_03_31_01;1905;sexu;deutschland 250 000 maennern woechentlich homosexuellen akt multiplikation 52 anzahl 13;0;0;0
59;Protocol_1905_03_31_01;1905;sexu;millionen homosexueller akte jaehrlich deutschland maennern begangen;0;0;0
60;Protocol_1905_03_31_01;1905;sexu;verzeichnis vorlesen vorhin hervorhob trieb homosexualitaet abhaengig alter geschlecht berufe religion;-0.0096;0;2
61;Protocol_1905_03_31_01;1905;sexu;grossen staedten kleinen kommissionsberichte strafbarkeit homosexuellen handlungen deswillen abstand handlungen gesundheit;0.0979;0;2
62;Protocol_1905_03_31_01;1905;sexu;sanitaere missstaende grossen kleinen gemeinwesen homosexuellen handlungen sehr bezeichnend satz kommissionsbericht;0.0979;0;2
63;Protocol_1905_03_31_01;1905;sexu;lautet homosexuellen ausschreitungen griechen roemern staaten aufgetreten;0;0;0
64;Protocol_1905_03_31_01;1905;sexu;annehmen wahr beweist zahlreiche auftreten homosexualitaet deutschland bezw europaeischen staaten – nicht;0.2176;0;1
65;Protocol_1905_03_31_01;1905;sexu;besser deutschland – europaeische kultur verfall homosexualitaet ursache verfalls wirkung bereits begonnenen;-0.0056;0;3
66;Protocol_1905_03_31_01;1905;sexu;gilt neuerdings anzahl faellen bekannt homosexuellen handlungen gerichtsverhandlungen gefuehrt verhandlungen enthuellen;0.008;0;2
67;Protocol_1905_03_31_01;1905;sexu;tieftraurige seelenqualen beweisen schwer homosexuellen ringen neigung gefahr strafrichter ausgeliefert;-1.0048;0;2
68;Protocol_1905_03_31_01;1905;sexu;bekannt zusammentraegt monat verhandlungen erpressung homosexuell veranlagten weise geschroepft weise seelenfrieden;0.448;0;4
69;Protocol_1905_03_31_01;1905;sexu;zurueckzufuehren find sehr faellen duerfte homosexuelle veranlagung ungluecklichen wahre die petition;-0.0834;0;2
70;Protocol_1905_03_31_01;1905;sexu;der zugetragen abweisen offenes geheimnis homosexuelle neigungen schichten bevoelkerung altersstufen geschlechtern;-0.0048;0;1
71;Protocol_1905_03_31_01;1905;sexu;kreise leiden bestraft – sehr haeufig homosexuellen handlungen hervorragendsten kreisen erstklassigen begangen;0.1451;0;4
72;Protocol_1905_03_31_01;1905;sexu;polizei bekannt greift ungerechtigkeit homosexualitaet bestraft polizei gericht verpflichtung kenntnis;-0.819;0;3
73;Protocol_1905_03_31_01;1905;sexu;hoch hoechststehenden personen polizeidirektor gewusst homosexuelle neigungen homosexuell betaetigen paragraf 175;0.004;0;1
74;Protocol_1905_03_31_01;1905;sexu;kennt diejenigen hohen hoechsten kreisen homosexuell betaetigen weiss charakterfeste uebertragen paragraf;0.004;0;1
75;Protocol_1905_03_31_01;1905;sexu;gebuehrt jahren bekannt gewordenen faellen homosexualitaet erinnere grossindustriellen rheinland essen krupp;0.004;0;1
76;Protocol_1905_03_31_01;1905;sexu;staerker wille bekannt zu laufen homosexuelle maenner namhaft wissen homosexuell veranlagte;0.02;0;5
77;Protocol_1905_03_31_01;1905;sexu;homosexuell betaetigende weilen konsequenzen mutiger von;0.3435;0;1
78;Protocol_1905_03_31_01;1905;sexu;verirrungen frueheren zeiten zaehlen naturanlage homosexualitaet zwingt untersuchungen zwingt der freie;-0.991;0;3
79;Protocol_1905_03_31_01;1905;sexu;anspruch menschen ungestoert betaetigen begreifen homosexuell veranlagte geschlechtlichen verkehr homosexuellen mehrheit;0.004;0;1
80;Protocol_1905_03_31_01;1905;sexu;gesetze heterosexuelle betaetigung geschlechtslebens anormales recht paragraf;0.004;0;1
81;Protocol_1905_03_31_01;1905;gleichgeschl;angehoerten eingeholtes gutachten abgegeben strafandrohungen gleichgeschlechtlichen verkehrs aufzuheben begruendung stehenden handlungen;0;0;0
82;Protocol_1905_03_31_01;1905;hirschfeld;wissen vorsitzende wissenschaftlich-humanitaeren komitees hirschfeld charlottenburg enquete studenten technischen hochschule;0.004;0;1
83;Protocol_1905_03_31_01;1905;hirschfeld;beantworten ausserordentlich staatsgefaehrliche handlung erblickt hirschfeld bekannten prozess anregung geistlichen szene;0.1177;0;2
84;Protocol_1905_03_31_01;1905;komitee;wildenbruch unterzeichner petition briefe humanitaere komitee geschrieben beeile ernste aufforderung beantworten;0.004;0;1
85;Protocol_1905_03_31_01;1905;komitee;hervorbringt zweifel verdienst humanitaer-wissenschaftlichen komitees grossem nachdruck grade physiologische homosexuellen;0.3686;0;3
86;Protocol_1905_03_31_01;1905;komitee;oeffentliche debatte geworfen mag humanitaere komitee regel neuen bewegungen scharf standpunkt;0.5778;0;4
87;Protocol_1905_03_31_01;1905;komitee;tuechtigsten hinstellt ausschreitungen geaendert humanitaere komitee grosse verdienst anspruch nachdruecklich angelegenheit;0.3814;0;4
88;Protocol_1905_03_31_01;1905;komitee;erregte wissen vorsitzende wissenschaftlich-humanitaeren komitees hirschfeld charlottenburg enquete studenten technischen;0.004;0;1
89;Protocol_1905_03_31_01;1905;komitee;luft gebauten berechnungen wissenschaftlichen humanitaeren komitees persoenliches verschulden ausnahmegesetz unterstellt schwersten;-0.4969;0;3
90;Protocol_1905_03_31_01;1905;komitee;handlungen strafrichter gelangen humanitaer-wissenschaftlichen komitee – rechnung luft gebaut – deutschland 1;0;0;0
91;Protocol_1905_03_31_01;1905;komitee;untersuchung entlassen beispiel monatsberichte wissenschaftlichhumanitaeren komitees grosser sorgfalt verhandlungen bekannt zusammentraegt;0.3686;0;3
92;Protocol_1905_03_31_01;1905;komitee;testaments verstorbenen polizeidirektors meerscheidthuellessem wissenschaftlichhumanitaere komitee verhindert reichen erfahrungen verstorbene polizeidirektor;0.1287;0;2
93;Protocol_1905_03_31_01;1905;komitee;wesentlichen einschraenkung testamentarisch aufschriften wissenschaftlichhumanitaeren komitee vermacht aushaendigung testaments verhindert wissenschaftlichhumanitaere;-0.2008;0;2
94;Protocol_1905_03_31_01;1905;komitee;komitee besitz testamentarisch vermachten gabe aushaendigung;0.0827;0;3
95;Protocol_1905_03_31_01;1905;komitee;fassung strafbar scheuen oeffentlichkeit wissenschaftlichhumanitaeren komitee material liefern schlimm aussehen ziehe;-0.5173;0;2
96;Protocol_1905_03_31_01;1905;komitee;aeussern reichskanzler petition wissenschaftlich humanitaeren komitees zugegangen material akten bearbeitung neuen;0.008;0;2
97;Protocol_1905_03_31_01;1905;komitee;strafgesetzes aufgespeichert reichskanzler humanitaeren komitee weite entgegengekommen petitionskommission reichstages petitionskommission;0.004;0;1
98;Protocol_1905_03_31_01;1905;komitee;ersuche antrage zuzustimmen petition humanitaerwissenschaftlichen komitees aufhebung paragraf 175 strafgesetzbuchs reichskanzler;-0.0048;0;1
99;Protocol_1905_03_31_01;1905;175;gefoerdert abstimmung petition abaenderung paragraf 175 kommission abstimmungen vornehmen petition beruecksichtigung;0.012;0;3
100;Protocol_1905_03_31_01;1905;175;grossen ungerechtigkeiten fuehren aufrechterhaltung 8 175 bereits herbeigefuehrt 8 175 aenderung;0.0315;0;3
101;Protocol_1905_03_31_01;1905;175;vollzogen wird vollstaendige aufhebung paragraf 175 vollstaendige straffreiheit homosexuelle handlungen gefordert;0.0032;0;3
102;Protocol_1905_03_31_01;1905;175;gerechtigkeit menschlichkeit jetzige fassung 8 175 reichsstrafgesetzbuchs unvereinbar fortgeschrittenen wissenschaftlichen erkenntnis;-0.0008;0;2
103;Protocol_1905_03_31_01;1905;175;betrachten gruende anerkennt ergebnis gelangen 8175 jetzigen fassung ungerechtigkeit widerspruch darstellt;-0.7034;0;3
104;Protocol_1905_03_31_01;1905;175;beseitigt kommission beseitigung einschraenkung 8 175 alle laster frei walten gemachten;-0.2104;0;4
105;Protocol_1905_03_31_01;1905;175;maennern strafbarkeit unterliegt meineherren paragraf 175 – form vorliegt – 35 jahren strafgesetz;-0.0048;0;1
106;Protocol_1905_03_31_01;1905;175;durchzulesen kommission garnicht plenum paragraf 175 debatte laengere debatte entstanden beweis;0;0;0
107;Protocol_1905_03_31_01;1905;175;176 166 – gotteslaesterung – tagelang debattiert 175 plenum stillschweigend hinweggegangen alten preussischen;-0.0048;0;1
108;Protocol_1905_03_31_01;1905;175;bemerkbar kommissionsbericht schrecken droht ss 175 gewuenschte einschraenkung angedeihen wahr beseitigung;-0.5323;0;6
109;Protocol_1905_03_31_01;1905;175;gefahr laufen persoenliche schuld naturanlage 175 strafrichter gezogen sehr empfindlich bestraft;-2.4497;0;3
110;Protocol_1905_03_31_01;1905;175;wissen strafgesetz paragraf 175 gefaengnisstrafe erkennt aberkennung buergerlichen ehrenrechte;0.004;0;1
111;Protocol_1905_03_31_01;1905;175;zustand 1 million menschen paragraf 175 strafe bedrohen persoenliches verschulden beigemessen;-0.3408;0;1
112;Protocol_1905_03_31_01;1905;175;untersuchung prozentsatz homosexuellen – mitgeteilt paragraf 175 reichsstrafgesetzbuchs widernatuerlicher unzucht deutschland bestraft;-0.7875;0;2
113;Protocol_1905_03_31_01;1905;175;unterschiede wiederholt bestrafung gelangenden faelle 175 diejenigen persoenliches verschulden homosexuellen handlungen;-0.0048;0;1
114;Protocol_1905_03_31_01;1905;175;einzelnen oberlandesgerichtsbezirke verurteilungen vergehens ss 175 verteilen verzeichnis vorlesen vorhin hervorhob;-0.0048;0;1
115;Protocol_1905_03_31_01;1905;175;prozesse haengt anstrengung prozessen tz 175 zufaellen – grossstaedten prozesse ursachen anhaengig;-0.0048;0;1
116;Protocol_1905_03_31_01;1905;175;welch ausserordentliches elend gerichtsverhandlungen tz 175 notwendig macht einzelne familien hoffentlich;-0.0836;0;3
117;Protocol_1905_03_31_01;1905;175;gelingt ungluecklichen z175 befreien ausnahmen gerechterweise zugestanden ungluecklichen;-0.598;0;3
118;Protocol_1905_03_31_01;1905;175;vergnuegen ergreife gelegenheit bett umaenderung 175 mitzuwirken bedenklichkeit prozess erwachsenen schuelers;0.1838;0;1
119;Protocol_1905_03_31_01;1905;175;bevoelkerung altersstufen geschlechtern berufsarten paragraf 175 gesellschaftlich hochstehenden kreise leiden bestraft;-0.6407;0;2
120;Protocol_1905_03_31_01;1905;175;polizeidirektor aktenmaterial zusammengestellt aufhebung paragraf 175 wesentlichen einschraenkung testamentarisch aufschriften wissenschaftlichhumanitaeren;-0.2096;0;2
121;Protocol_1905_03_31_01;1905;175;homosexuelle neigungen homosexuell betaetigen paragraf 175 strafgesetzbuchs jetzigen fassung strafbar scheuen;-0.3468;0;1
122;Protocol_1905_03_31_01;1905;175;find jetzigen nichtszustande jetzigen fassung paragraph175 schwer leiden aufzutreten weiss ungerecht;-0.9488;0;3
123;Protocol_1905_03_31_01;1905;175;bestraft wofuer mensch verantwortlich paragraf 175 neue strafgesetz erlassen jetzigen fassung;-0.4731;0;3
124;Protocol_1905_03_31_01;1905;175;betaetigung geschlechtslebens anormales recht paragraf 175 jetzigen fassung aufrecht erhalten paragraf;0.012;0;3
125;Protocol_1905_03_31_01;1905;175;175 wirkungslos verschwindender bruchteil hierher gehoerigen;-0.0008;0;2
126;Protocol_1905_03_31_01;1905;175;bruchteil einzigen prozents bestrafung gelangt paragraph175 ungerecht frau handlungen strafe laesst;-0.7892;0;2
127;Protocol_1905_03_31_01;1905;175;manne bestraft paragraf 175 unwissenschaftlich voraussetzung sachen wissenschaftlich widerlegt;-0.8263;0;2
128;Protocol_1905_03_31_01;1905;175;kurz gut stichhaltigen beibehaltung paragraf 175 jetzigen fassung spricht bringt petition;0.3668;0;2
129;Protocol_1905_03_31_01;1905;175;petition humanitaerwissenschaftlichen komitees aufhebung paragraf 175 strafgesetzbuchs reichskanzler beruecksichtigung ueberweisen;-0.0048;0;1
130;Protocol_1905_03_31_01;1905;widernat;vollstaendige beseitigung – petition verlangt lautet widernatuerliche unzucht personen maennlichen geschlechts menschen;-0.3072;0;3
131;Protocol_1905_03_31_01;1905;widernat;petition bestimmung getroffen wissen inhalts widernatuerliche unzucht bestrafen anwendung gewalt personen;-1.3198;0;4
132;Protocol_1905_03_31_01;1905;widernat;homosexuellen – mitgeteilt paragraf 175 reichsstrafgesetzbuchs widernatuerlicher unzucht deutschland bestraft jahre 1900;-0.7875;0;2
133;Protocol_1905_03_31_02;1905;sexu;resultaten gezeitigt wuerdigen beweis geliefert homosexualitaet ausfluss allgemeinen naturgesetzes gut naturgemaess;0.4517;0;2
134;Protocol_1905_03_31_02;1905;sexu;naturanlage magnus hirschfeld unterscheidet jahrbuch sexuelle zwischenstufen jahrgang meinungen kontraere sexualempfindung;0;0;0
135;Protocol_1905_03_31_02;1905;sexu;ergebnis gepriesenen wissenschaft hoeren demgegenueber homosexualitaet ueberhaupt male wissenschaftlich aufzurollen bestrebt;0;0;0
136;Protocol_1905_03_31_02;1905;sexu;degeneration naturwidrigkeit festhalten caspar anschauung homosexualitaet naturgemaess befindet sohin zweifellos widerspruche;-0.3655;0;1
137;Protocol_1905_03_31_02;1905;sexu;alle arzte stimmen ueberein kontraere sexualempfindung krankhafte erscheinung leichteren grades eigentliche;0.004;0;1
138;Protocol_1905_03_31_02;1905;sexu;maennlichen weiblichen individuum erscheinung kontraere sexualempfindung behaftete individuum prinzipieller unerregbarkeit geschlecht;0;0;0
139;Protocol_1905_03_31_02;1905;sexu;moeglichkeit heterosexueller befriedigung besitzt westphal fasst kontraere;0.012;0;3
140;Protocol_1905_03_31_02;1905;sexu;sexualempfindung teilerscheinung neuropathischer psychopathischer zustaende zumeist;0;0;0
141;Protocol_1905_03_31_02;1905;sexu;leidensgenossen ergriffen haelt urningsliebe berechtigt heterosexuelle verlangt – – aufhebung strafbestimmungen staatliche genehmigung;-0.0008;0;2
142;Protocol_1905_03_31_02;1905;sexu;ehen mitgliedern geschlechts heutigen kontraersexual empfindenden maenner unverhaeltnismaessig gross angibt;0.3646;0;2
143;Protocol_1905_03_31_02;1905;sexu;krafftebing 86xuaeue8 1898 schrift der kontraersexuelle strafrichter 1894 mitgeteilt foermliches system;0;0;0
144;Protocol_1905_03_31_02;1905;sexu;stoerungen entworfen unterscheidet angeboren erworbener homosexualitaet standpunkt neueren verlassen beweis sicherheit;-0.3489;0;3
145;Protocol_1905_03_31_02;1905;sexu;reizzustaende versetzt reinen faelle – hoche – kontraersexuellen – stoesst angeborenen abnormen triebs allgemeinen;-0.3523;0;2
146;Protocol_1905_03_31_02;1905;sexu;psychiater stimmt ueberein angeborene abnorme sexuelle veranlagung entstehung kontraersexueller neigungen gehirn;0;0;0
147;Protocol_1905_03_31_02;1905;sexu;besser einzelne leidet gesamtheit gerechtfertigt kontrasexualen arten befriedigung strafe abzuschneiden gesamtheit;-0.1476;0;4
148;Protocol_1905_03_31_02;1905;sexu;einzugehen – huepeden schluffe erwiesen angeborene kontrasexualitaet hauptursache paederastie kontrasexualitaet begruendet straflosigkeit;-0.0048;0;1
149;Protocol_1905_03_31_02;1905;sexu;strenge form kontrasexualitaet laesst gelehrte ursache straflosigkeit – tritt;-0.3571;0;1
150;Protocol_1905_03_31_02;1905;sexu;strafrechtliche verantwortlichkeit angezweifelt raffaelowitsch entwicklung homosexualitaet gerichtssaal band 43 110 tadelt;-0.3234;0;1
151;Protocol_1905_03_31_02;1905;sexu;kontraeren perversen bereitwillig aufnehme meint homosexuellen luegner kindheit sprechen rein waschen;-0.4727;0;2
152;Protocol_1905_03_31_02;1905;sexu;schriften verkehrtheit gelesen literatur jahrbuchs sexuelle zwischenstufen erinnert gewohnheitsdiebe lebenslaenglich verwahren;0;0;0
153;Protocol_1905_03_31_02;1905;sexu;arbeitshaeuser stecken trunkenbolde trinkerheilanstalten entmuendigen – kontraersexuelle aergernis mitbuerger steten gefahr ansteckung;-1.3357;0;2
154;Protocol_1905_03_31_02;1905;sexu;taetigkeit reichte petition komitee anhaenger kontraersexuellen gerichtliche straflosigkeit soziale freiheit staatliche;0.004;0;1
155;Protocol_1905_03_31_02;1905;sexu;anerkennung grunde anschauung homosexualitaet rein natuerliche erscheinung anschauung falsch;-0.6723;0;3
156;Protocol_1905_03_31_02;1905;sexu;angedeutet natur homosexualitaet dienst fortpflanzung erhaltung gestellt erscheint;0;0;0
157;Protocol_1905_03_31_02;1905;sexu;anschauung komitees unnatuerlich widersprechend bezeichnet homosexualitaet formales gewissen entwicklungsstadien begruendetes anormales;0;0;0
158;Protocol_1905_03_31_02;1905;sexu;pathologisches humanitaere komitee homosexuelle betaetigung erlaubt erklaert autoren gegangen;0.012;0;3
159;Protocol_1905_03_31_02;1905;sexu;komitee stuetzt krafftebing schrift der kontraersexuale strafrichter 1894 hinsichtlich sodomia raiiollc;0.004;0;1
160;Protocol_1905_03_31_02;1905;sexu;sexus laster hielt unverschuldetes gebrechen justiz;-0.3251;0;1
161;Protocol_1905_03_31_02;1905;sexu;grausam in gewissen faellen kscllopatllia sexualis 10 auflage 1898 medizinische wissenschaft;-0.625;0;1
162;Protocol_1905_03_31_02;1905;sexu;rechts) eulenburg realenzyklopaedie bemerkt kontraerer sexualitaet leidenden hoeher geringe beschriebenen faelle;-0.6669;0;2
163;Protocol_1905_03_31_02;1905;sexu;scheusslichkeit – bloch beitraege antiologie ksolloxatliia sexualis 1902 gaenzliche aufhebung paragraf 175;-0.0096;0;2
164;Protocol_1905_03_31_02;1905;sexu;alledem folgendem resultat lehre kontraeren sexualempfindung bestrittene wissenschaftlich begruendet schliesst strafbarkeit;-0.211;0;1
165;Protocol_1905_03_31_02;1905;sexu;anschauungen schuetzen handlung gefaehrdet trifft homosexuellen handlung zweifellos homosexualitaet blosse unsittlichkeit;-0.5006;0;1
166;Protocol_1905_03_31_02;1905;sexu;feuerbach lehrbuch 14 aust 467 homosexualitaet erschuettert grundlagen staates erschuettert familie;-0.0096;0;2
167;Protocol_1905_03_31_02;1905;sexu;bestrafung wirkt abschreckend verhindert verbreitung homosexualitaet homosexualitaet rueckgang bevoelkerung verursacht raeumen;-0.2634;0;3
168;Protocol_1905_03_31_02;1905;sexu;freunde humanitaeren komitees  hans fischer homosexualitaet psychologische erscheinung berlin 1904 kurnig;0.0156;0;2
169;Protocol_1905_03_31_02;1905;sexu;der neonihilismus anti  militarismus sexualleben (ende menschheit) leipzig 1901 nennen;0;0;0
170;Protocol_1905_03_31_02;1905;sexu;recht deutlich erkennen laesst bestrebungen homosexuellen fuehren homosexuelle verkehr gefaehrdet sittlichkeit;-0.4926;0;3
171;Protocol_1905_03_31_02;1905;sexu;seele kinder schwachen vergiftet umsichgreifen homosexualitaet waechst gefahr allgemeinen degeneration menschengeschlechts;-1.9206;0;2
